size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,8.192e+03,8.275e-01,3.136e+03,3.168e-01,9.900e+03
32,32,32,3.277e+04,8.233e-01,1.235e+04,3.104e-01,3.980e+04
48,48,48,7.373e+04,8.238e-01,2.771e+04,3.096e-01,8.950e+04
64,64,64,1.311e+05,8.218e-01,4.922e+04,3.086e-01,1.595e+05
80,80,80,2.048e+05,8.202e-01,7.686e+04,3.078e-01,2.497e+05
96,96,96,2.949e+05,8.203e-01,1.107e+05,3.078e-01,3.595e+05
112,112,112,4.014e+05,8.172e-01,1.506e+05,3.066e-01,4.912e+05
128,128,128,5.243e+05,8.178e-01,1.967e+05,3.068e-01,6.411e+05
144,144,144,6.636e+05,8.171e-01,2.489e+05,3.065e-01,8.121e+05
160,160,160,8.192e+05,8.178e-01,3.073e+05,3.067e-01,1.002e+06
176,176,176,9.912e+05,8.168e-01,3.718e+05,3.063e-01,1.214e+06
192,192,192,1.180e+06,8.170e-01,4.424e+05,3.064e-01,1.444e+06
208,208,208,1.384e+06,8.169e-01,5.192e+05,3.064e-01,1.695e+06
224,224,224,1.606e+06,8.170e-01,6.022e+05,3.064e-01,1.965e+06
240,240,240,1.843e+06,8.166e-01,6.913e+05,3.063e-01,2.257e+06
256,256,256,2.097e+06,8.172e-01,7.865e+05,3.065e-01,2.566e+06
272,272,272,2.367e+06,8.171e-01,8.879e+05,3.064e-01,2.897e+06
288,288,288,2.654e+06,8.164e-01,9.954e+05,3.062e-01,3.251e+06
304,304,304,2.957e+06,8.168e-01,1.109e+06,3.063e-01,3.621e+06
320,320,320,3.277e+06,8.164e-01,1.229e+06,3.062e-01,4.014e+06
336,336,336,3.613e+06,8.166e-01,1.355e+06,3.063e-01,4.424e+06
352,352,352,3.965e+06,8.163e-01,1.487e+06,3.061e-01,4.857e+06
368,368,368,4.334e+06,8.164e-01,1.625e+06,3.062e-01,5.308e+06
384,384,384,4.719e+06,8.162e-01,1.770e+06,3.061e-01,5.781e+06
400,400,400,5.120e+06,8.165e-01,1.920e+06,3.062e-01,6.271e+06
416,416,416,5.538e+06,8.166e-01,2.077e+06,3.062e-01,6.782e+06
432,432,432,5.972e+06,8.163e-01,2.240e+06,3.061e-01,7.316e+06
448,448,448,6.423e+06,8.165e-01,2.409e+06,3.062e-01,7.866e+06
464,464,464,6.889e+06,8.165e-01,2.584e+06,3.062e-01,8.438e+06
480,480,480,7.373e+06,8.162e-01,2.765e+06,3.061e-01,9.034e+06
496,496,496,7.873e+06,8.166e-01,2.952e+06,3.062e-01,9.641e+06
512,512,512,8.389e+06,8.162e-01,3.146e+06,3.061e-01,1.028e+07
528,528,528,8.921e+06,8.163e-01,3.345e+06,3.061e-01,1.093e+07
544,544,544,9.470e+06,8.163e-01,3.551e+06,3.061e-01,1.160e+07
560,560,560,1.004e+07,8.164e-01,3.763e+06,3.061e-01,1.229e+07
576,576,576,1.062e+07,8.164e-01,3.981e+06,3.062e-01,1.300e+07
592,592,592,1.121e+07,8.164e-01,4.206e+06,3.061e-01,1.374e+07
608,608,608,1.183e+07,8.164e-01,4.436e+06,3.062e-01,1.449e+07
624,624,624,1.246e+07,8.165e-01,4.673e+06,3.062e-01,1.526e+07
640,640,640,1.311e+07,8.162e-01,4.915e+06,3.061e-01,1.606e+07
656,656,656,1.377e+07,8.160e-01,5.164e+06,3.060e-01,1.688e+07
672,672,672,1.445e+07,8.158e-01,5.419e+06,3.059e-01,1.771e+07
688,688,688,1.515e+07,8.164e-01,5.680e+06,3.061e-01,1.855e+07
704,704,704,1.586e+07,8.161e-01,5.947e+06,3.061e-01,1.943e+07
720,720,720,1.659e+07,8.161e-01,6.221e+06,3.060e-01,2.033e+07
736,736,736,1.733e+07,8.161e-01,6.500e+06,3.060e-01,2.124e+07
752,752,752,1.810e+07,8.161e-01,6.786e+06,3.061e-01,2.217e+07
768,768,768,1.887e+07,8.162e-01,7.078e+06,3.061e-01,2.313e+07
784,784,784,1.967e+07,8.159e-01,7.376e+06,3.060e-01,2.411e+07
800,800,800,2.048e+07,8.156e-01,7.680e+06,3.059e-01,2.511e+07
816,816,816,2.131e+07,8.159e-01,7.990e+06,3.060e-01,2.611e+07
832,832,832,2.215e+07,8.158e-01,8.307e+06,3.059e-01,2.715e+07
848,848,848,2.301e+07,8.159e-01,8.629e+06,3.060e-01,2.820e+07
864,864,864,2.389e+07,8.160e-01,8.958e+06,3.060e-01,2.927e+07
880,880,880,2.478e+07,8.160e-01,9.293e+06,3.060e-01,3.037e+07
896,896,896,2.569e+07,8.154e-01,9.634e+06,3.058e-01,3.151e+07
912,912,912,2.662e+07,8.157e-01,9.981e+06,3.059e-01,3.263e+07
928,928,928,2.756e+07,8.160e-01,1.033e+07,3.060e-01,3.377e+07
944,944,944,2.852e+07,8.156e-01,1.069e+07,3.059e-01,3.496e+07
960,960,960,2.949e+07,8.158e-01,1.106e+07,3.059e-01,3.615e+07
976,976,976,3.048e+07,8.158e-01,1.143e+07,3.059e-01,3.736e+07
992,992,992,3.149e+07,8.161e-01,1.181e+07,3.060e-01,3.859e+07
1008,1008,1008,3.251e+07,8.156e-01,1.219e+07,3.059e-01,3.986e+07
