size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.560e+03,2.560e+00,3.092e+03,3.092e+00,1.000e+03
32,32,32,1.024e+04,2.498e+00,1.231e+04,3.002e+00,4.100e+03
48,48,48,2.304e+04,2.532e+00,2.767e+04,3.040e+00,9.100e+03
64,64,64,4.096e+04,2.544e+00,4.917e+04,3.054e+00,1.610e+04
80,80,80,6.400e+04,2.550e+00,7.682e+04,3.061e+00,2.510e+04
96,96,96,9.216e+04,2.553e+00,1.106e+05,3.064e+00,3.610e+04
112,112,112,1.254e+05,2.555e+00,1.505e+05,3.066e+00,4.910e+04
128,128,128,1.638e+05,2.560e+00,1.966e+05,3.072e+00,6.400e+04
144,144,144,2.074e+05,2.560e+00,2.489e+05,3.072e+00,8.100e+04
160,160,160,2.560e+05,2.545e+00,3.072e+05,3.054e+00,1.006e+05
176,176,176,3.098e+05,2.552e+00,3.717e+05,3.062e+00,1.214e+05
192,192,192,3.686e+05,2.551e+00,4.424e+05,3.062e+00,1.445e+05
208,208,208,4.326e+05,2.552e+00,5.192e+05,3.063e+00,1.695e+05
224,224,224,5.018e+05,2.544e+00,6.021e+05,3.053e+00,1.972e+05
240,240,240,5.760e+05,2.549e+00,6.912e+05,3.058e+00,2.260e+05
256,256,256,6.554e+05,2.549e+00,7.865e+05,3.059e+00,2.571e+05
272,272,272,7.398e+05,2.543e+00,8.878e+05,3.052e+00,2.909e+05
288,288,288,8.294e+05,2.540e+00,9.953e+05,3.048e+00,3.266e+05
304,304,304,9.242e+05,2.538e+00,1.109e+06,3.046e+00,3.641e+05
320,320,320,1.024e+06,2.539e+00,1.229e+06,3.047e+00,4.033e+05
336,336,336,1.129e+06,2.541e+00,1.355e+06,3.049e+00,4.443e+05
352,352,352,1.239e+06,2.540e+00,1.487e+06,3.048e+00,4.878e+05
368,368,368,1.354e+06,2.538e+00,1.625e+06,3.046e+00,5.335e+05
384,384,384,1.475e+06,2.539e+00,1.769e+06,3.047e+00,5.807e+05
400,400,400,1.600e+06,2.542e+00,1.920e+06,3.051e+00,6.294e+05
416,416,416,1.731e+06,2.541e+00,2.077e+06,3.049e+00,6.810e+05
432,432,432,1.866e+06,2.544e+00,2.240e+06,3.053e+00,7.335e+05
448,448,448,2.007e+06,2.545e+00,2.408e+06,3.054e+00,7.886e+05
464,464,464,2.153e+06,2.539e+00,2.584e+06,3.047e+00,8.479e+05
480,480,480,2.304e+06,2.540e+00,2.765e+06,3.048e+00,9.072e+05
496,496,496,2.460e+06,2.542e+00,2.952e+06,3.050e+00,9.679e+05
512,512,512,2.621e+06,2.542e+00,3.146e+06,3.050e+00,1.031e+06
528,528,528,2.788e+06,2.543e+00,3.345e+06,3.051e+00,1.096e+06
544,544,544,2.959e+06,2.542e+00,3.551e+06,3.050e+00,1.164e+06
560,560,560,3.136e+06,2.543e+00,3.763e+06,3.051e+00,1.233e+06
576,576,576,3.318e+06,2.542e+00,3.981e+06,3.050e+00,1.305e+06
592,592,592,3.505e+06,2.541e+00,4.206e+06,3.050e+00,1.379e+06
608,608,608,3.697e+06,2.542e+00,4.436e+06,3.050e+00,1.454e+06
624,624,624,3.894e+06,2.542e+00,4.673e+06,3.050e+00,1.532e+06
640,640,640,4.096e+06,2.540e+00,4.915e+06,3.048e+00,1.613e+06
656,656,656,4.303e+06,2.542e+00,5.164e+06,3.050e+00,1.693e+06
672,672,672,4.516e+06,2.543e+00,5.419e+06,3.051e+00,1.776e+06
688,688,688,4.733e+06,2.541e+00,5.680e+06,3.050e+00,1.862e+06
704,704,704,4.956e+06,2.542e+00,5.947e+06,3.051e+00,1.950e+06
720,720,720,5.184e+06,2.543e+00,6.221e+06,3.052e+00,2.039e+06
736,736,736,5.417e+06,2.543e+00,6.500e+06,3.052e+00,2.130e+06
752,752,752,5.655e+06,2.542e+00,6.786e+06,3.051e+00,2.224e+06
768,768,768,5.898e+06,2.541e+00,7.078e+06,3.049e+00,2.322e+06
784,784,784,6.147e+06,2.542e+00,7.376e+06,3.050e+00,2.418e+06
800,800,800,6.400e+06,2.543e+00,7.680e+06,3.052e+00,2.517e+06
816,816,816,6.659e+06,2.541e+00,7.990e+06,3.050e+00,2.620e+06
832,832,832,6.922e+06,2.542e+00,8.307e+06,3.050e+00,2.723e+06
848,848,848,7.191e+06,2.539e+00,8.629e+06,3.047e+00,2.832e+06
864,864,864,7.465e+06,2.541e+00,8.958e+06,3.050e+00,2.937e+06
880,880,880,7.744e+06,2.542e+00,9.293e+06,3.050e+00,3.047e+06
896,896,896,8.028e+06,2.542e+00,9.634e+06,3.050e+00,3.159e+06
912,912,912,8.317e+06,2.542e+00,9.981e+06,3.050e+00,3.272e+06
928,928,928,8.612e+06,2.542e+00,1.033e+07,3.051e+00,3.387e+06
944,944,944,8.911e+06,2.543e+00,1.069e+07,3.051e+00,3.505e+06
960,960,960,9.216e+06,2.542e+00,1.106e+07,3.050e+00,3.626e+06
976,976,976,9.526e+06,2.543e+00,1.143e+07,3.052e+00,3.745e+06
992,992,992,9.841e+06,2.541e+00,1.181e+07,3.049e+00,3.874e+06
1008,1008,1008,1.016e+07,2.542e+00,1.219e+07,3.051e+00,3.996e+06
