size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,6.206e-01,3.120e+03,3.152e-01,9.900e+03
32,32,32,2.458e+04,6.190e-01,1.234e+04,3.107e-01,3.970e+04
48,48,48,5.530e+04,6.185e-01,2.770e+04,3.098e-01,8.940e+04
64,64,64,9.830e+04,6.159e-01,4.920e+04,3.083e-01,1.596e+05
80,80,80,1.536e+05,6.154e-01,7.685e+04,3.079e-01,2.496e+05
96,96,96,2.212e+05,6.151e-01,1.106e+05,3.077e-01,3.596e+05
112,112,112,3.011e+05,6.126e-01,1.506e+05,3.064e-01,4.914e+05
128,128,128,3.932e+05,6.139e-01,1.967e+05,3.070e-01,6.405e+05
144,144,144,4.977e+05,6.127e-01,2.489e+05,3.064e-01,8.122e+05
160,160,160,6.144e+05,6.127e-01,3.072e+05,3.064e-01,1.003e+06
176,176,176,7.434e+05,6.125e-01,3.718e+05,3.063e-01,1.214e+06
192,192,192,8.847e+05,6.123e-01,4.424e+05,3.062e-01,1.445e+06
208,208,208,1.038e+06,6.127e-01,5.192e+05,3.064e-01,1.695e+06
224,224,224,1.204e+06,6.121e-01,6.022e+05,3.061e-01,1.968e+06
240,240,240,1.382e+06,6.122e-01,6.912e+05,3.061e-01,2.258e+06
256,256,256,1.573e+06,6.123e-01,7.865e+05,3.062e-01,2.569e+06
272,272,272,1.776e+06,6.123e-01,8.879e+05,3.062e-01,2.900e+06
288,288,288,1.991e+06,6.121e-01,9.954e+05,3.060e-01,3.252e+06
304,304,304,2.218e+06,6.122e-01,1.109e+06,3.061e-01,3.623e+06
320,320,320,2.458e+06,6.122e-01,1.229e+06,3.061e-01,4.014e+06
336,336,336,2.710e+06,6.122e-01,1.355e+06,3.061e-01,4.426e+06
352,352,352,2.974e+06,6.125e-01,1.487e+06,3.063e-01,4.855e+06
368,368,368,3.250e+06,6.121e-01,1.625e+06,3.061e-01,5.310e+06
384,384,384,3.539e+06,6.123e-01,1.770e+06,3.062e-01,5.780e+06
400,400,400,3.840e+06,6.124e-01,1.920e+06,3.062e-01,6.271e+06
416,416,416,4.153e+06,6.117e-01,2.077e+06,3.059e-01,6.789e+06
432,432,432,4.479e+06,6.122e-01,2.240e+06,3.061e-01,7.316e+06
448,448,448,4.817e+06,6.117e-01,2.408e+06,3.059e-01,7.875e+06
464,464,464,5.167e+06,6.125e-01,2.584e+06,3.063e-01,8.436e+06
480,480,480,5.530e+06,6.121e-01,2.765e+06,3.061e-01,9.033e+06
496,496,496,5.904e+06,6.123e-01,2.952e+06,3.062e-01,9.642e+06
512,512,512,6.291e+06,6.123e-01,3.146e+06,3.062e-01,1.027e+07
528,528,528,6.691e+06,6.124e-01,3.345e+06,3.062e-01,1.093e+07
544,544,544,7.102e+06,6.121e-01,3.551e+06,3.061e-01,1.160e+07
560,560,560,7.526e+06,6.112e-01,3.763e+06,3.056e-01,1.231e+07
576,576,576,7.963e+06,6.117e-01,3.981e+06,3.058e-01,1.302e+07
592,592,592,8.411e+06,6.120e-01,4.206e+06,3.060e-01,1.374e+07
608,608,608,8.872e+06,6.121e-01,4.436e+06,3.061e-01,1.449e+07
624,624,624,9.345e+06,6.119e-01,4.673e+06,3.060e-01,1.527e+07
640,640,640,9.830e+06,6.122e-01,4.915e+06,3.061e-01,1.606e+07
656,656,656,1.033e+07,6.117e-01,5.164e+06,3.058e-01,1.688e+07
672,672,672,1.084e+07,6.121e-01,5.419e+06,3.061e-01,1.771e+07
688,688,688,1.136e+07,6.117e-01,5.680e+06,3.058e-01,1.857e+07
704,704,704,1.189e+07,6.119e-01,5.947e+06,3.059e-01,1.944e+07
720,720,720,1.244e+07,6.117e-01,6.221e+06,3.058e-01,2.034e+07
736,736,736,1.300e+07,6.118e-01,6.500e+06,3.059e-01,2.125e+07
752,752,752,1.357e+07,6.115e-01,6.786e+06,3.057e-01,2.220e+07
768,768,768,1.416e+07,6.119e-01,7.078e+06,3.059e-01,2.314e+07
784,784,784,1.475e+07,6.116e-01,7.376e+06,3.058e-01,2.412e+07
800,800,800,1.536e+07,6.117e-01,7.680e+06,3.058e-01,2.511e+07
816,816,816,1.598e+07,6.117e-01,7.990e+06,3.059e-01,2.612e+07
832,832,832,1.661e+07,6.115e-01,8.307e+06,3.057e-01,2.717e+07
848,848,848,1.726e+07,6.116e-01,8.629e+06,3.058e-01,2.822e+07
864,864,864,1.792e+07,6.117e-01,8.958e+06,3.058e-01,2.929e+07
880,880,880,1.859e+07,6.119e-01,9.293e+06,3.060e-01,3.037e+07
896,896,896,1.927e+07,6.116e-01,9.634e+06,3.058e-01,3.151e+07
912,912,912,1.996e+07,6.114e-01,9.981e+06,3.057e-01,3.265e+07
928,928,928,2.067e+07,6.116e-01,1.033e+07,3.058e-01,3.380e+07
944,944,944,2.139e+07,6.113e-01,1.069e+07,3.057e-01,3.498e+07
960,960,960,2.212e+07,6.115e-01,1.106e+07,3.058e-01,3.617e+07
976,976,976,2.286e+07,6.116e-01,1.143e+07,3.058e-01,3.738e+07
992,992,992,2.362e+07,6.118e-01,1.181e+07,3.059e-01,3.860e+07
1008,1008,1008,2.439e+07,6.119e-01,1.219e+07,3.059e-01,3.985e+07
