size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,8.192e+03,8.275e-01,3.136e+03,3.168e-01,9.900e+03
32,32,32,3.277e+04,8.254e-01,1.235e+04,3.111e-01,3.970e+04
48,48,48,7.373e+04,8.247e-01,2.771e+04,3.100e-01,8.940e+04
64,64,64,1.311e+05,8.213e-01,4.922e+04,3.084e-01,1.596e+05
80,80,80,2.048e+05,8.205e-01,7.686e+04,3.079e-01,2.496e+05
96,96,96,2.949e+05,8.197e-01,1.107e+05,3.075e-01,3.598e+05
112,112,112,4.014e+05,8.169e-01,1.506e+05,3.065e-01,4.914e+05
128,128,128,5.243e+05,8.175e-01,1.967e+05,3.067e-01,6.413e+05
144,144,144,6.636e+05,8.167e-01,2.489e+05,3.063e-01,8.125e+05
160,160,160,8.192e+05,8.165e-01,3.073e+05,3.063e-01,1.003e+06
176,176,176,9.912e+05,8.170e-01,3.718e+05,3.064e-01,1.213e+06
192,192,192,1.180e+06,8.164e-01,4.424e+05,3.062e-01,1.445e+06
208,208,208,1.384e+06,8.166e-01,5.192e+05,3.063e-01,1.695e+06
224,224,224,1.606e+06,8.169e-01,6.022e+05,3.064e-01,1.966e+06
240,240,240,1.843e+06,8.166e-01,6.913e+05,3.062e-01,2.257e+06
256,256,256,2.097e+06,8.167e-01,7.865e+05,3.063e-01,2.568e+06
272,272,272,2.367e+06,8.166e-01,8.879e+05,3.063e-01,2.899e+06
288,288,288,2.654e+06,8.172e-01,9.954e+05,3.065e-01,3.248e+06
304,304,304,2.957e+06,8.165e-01,1.109e+06,3.062e-01,3.622e+06
320,320,320,3.277e+06,8.166e-01,1.229e+06,3.062e-01,4.013e+06
336,336,336,3.613e+06,8.162e-01,1.355e+06,3.061e-01,4.426e+06
352,352,352,3.965e+06,8.162e-01,1.487e+06,3.061e-01,4.858e+06
368,368,368,4.334e+06,8.164e-01,1.625e+06,3.062e-01,5.308e+06
384,384,384,4.719e+06,8.161e-01,1.770e+06,3.061e-01,5.782e+06
400,400,400,5.120e+06,8.161e-01,1.920e+06,3.061e-01,6.274e+06
416,416,416,5.538e+06,8.166e-01,2.077e+06,3.062e-01,6.782e+06
432,432,432,5.972e+06,8.164e-01,2.240e+06,3.062e-01,7.315e+06
448,448,448,6.423e+06,8.163e-01,2.409e+06,3.061e-01,7.868e+06
464,464,464,6.889e+06,8.162e-01,2.584e+06,3.061e-01,8.441e+06
480,480,480,7.373e+06,8.161e-01,2.765e+06,3.061e-01,9.034e+06
496,496,496,7.873e+06,8.162e-01,2.952e+06,3.061e-01,9.646e+06
512,512,512,8.389e+06,8.163e-01,3.146e+06,3.061e-01,1.028e+07
528,528,528,8.921e+06,8.163e-01,3.345e+06,3.061e-01,1.093e+07
544,544,544,9.470e+06,8.168e-01,3.551e+06,3.063e-01,1.159e+07
560,560,560,1.004e+07,8.164e-01,3.763e+06,3.062e-01,1.229e+07
576,576,576,1.062e+07,8.166e-01,3.981e+06,3.062e-01,1.300e+07
592,592,592,1.121e+07,8.167e-01,4.206e+06,3.063e-01,1.373e+07
608,608,608,1.183e+07,8.164e-01,4.436e+06,3.062e-01,1.449e+07
624,624,624,1.246e+07,8.161e-01,4.673e+06,3.060e-01,1.527e+07
640,640,640,1.311e+07,8.169e-01,4.915e+06,3.064e-01,1.604e+07
656,656,656,1.377e+07,8.166e-01,5.164e+06,3.062e-01,1.686e+07
672,672,672,1.445e+07,8.165e-01,5.419e+06,3.062e-01,1.770e+07
688,688,688,1.515e+07,8.166e-01,5.680e+06,3.062e-01,1.855e+07
704,704,704,1.586e+07,8.165e-01,5.947e+06,3.062e-01,1.942e+07
720,720,720,1.659e+07,8.165e-01,6.221e+06,3.062e-01,2.032e+07
736,736,736,1.733e+07,8.166e-01,6.500e+06,3.062e-01,2.123e+07
752,752,752,1.810e+07,8.163e-01,6.786e+06,3.061e-01,2.217e+07
768,768,768,1.887e+07,8.163e-01,7.078e+06,3.061e-01,2.312e+07
784,784,784,1.967e+07,8.164e-01,7.376e+06,3.062e-01,2.409e+07
800,800,800,2.048e+07,8.167e-01,7.680e+06,3.062e-01,2.508e+07
816,816,816,2.131e+07,8.161e-01,7.990e+06,3.060e-01,2.611e+07
832,832,832,2.215e+07,8.169e-01,8.307e+06,3.063e-01,2.712e+07
848,848,848,2.301e+07,8.163e-01,8.629e+06,3.061e-01,2.819e+07
864,864,864,2.389e+07,8.161e-01,8.958e+06,3.060e-01,2.927e+07
880,880,880,2.478e+07,8.161e-01,9.293e+06,3.060e-01,3.037e+07
896,896,896,2.569e+07,8.157e-01,9.634e+06,3.059e-01,3.149e+07
912,912,912,2.662e+07,8.155e-01,9.981e+06,3.058e-01,3.264e+07
928,928,928,2.756e+07,8.155e-01,1.033e+07,3.058e-01,3.379e+07
944,944,944,2.852e+07,8.155e-01,1.069e+07,3.058e-01,3.497e+07
960,960,960,2.949e+07,8.148e-01,1.106e+07,3.055e-01,3.620e+07
976,976,976,3.048e+07,8.142e-01,1.143e+07,3.053e-01,3.744e+07
992,992,992,3.149e+07,8.148e-01,1.181e+07,3.055e-01,3.865e+07
1008,1008,1008,3.251e+07,8.146e-01,1.219e+07,3.055e-01,3.991e+07
