size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,4.147e+04,9.278e-01,3.396e+03,7.597e-02,4.470e+04
32,32,32,1.659e+05,9.242e-01,1.261e+04,7.026e-02,1.795e+05
48,48,48,3.732e+05,9.189e-01,2.797e+04,6.886e-02,4.062e+05
64,64,64,6.636e+05,9.187e-01,4.948e+04,6.850e-02,7.223e+05
80,80,80,1.037e+06,9.197e-01,7.712e+04,6.841e-02,1.127e+06
96,96,96,1.493e+06,9.190e-01,1.109e+05,6.828e-02,1.624e+06
112,112,112,2.032e+06,9.189e-01,1.509e+05,6.821e-02,2.212e+06
128,128,128,2.654e+06,9.190e-01,1.969e+05,6.818e-02,2.888e+06
144,144,144,3.359e+06,9.177e-01,2.492e+05,6.807e-02,3.660e+06
160,160,160,4.147e+06,9.188e-01,3.075e+05,6.813e-02,4.514e+06
176,176,176,5.018e+06,9.190e-01,3.720e+05,6.813e-02,5.460e+06
192,192,192,5.972e+06,9.189e-01,4.427e+05,6.812e-02,6.499e+06
208,208,208,7.009e+06,9.188e-01,5.195e+05,6.811e-02,7.628e+06
224,224,224,8.129e+06,9.191e-01,6.024e+05,6.812e-02,8.844e+06
240,240,240,9.331e+06,9.190e-01,6.915e+05,6.811e-02,1.015e+07
256,256,256,1.062e+07,9.189e-01,7.868e+05,6.810e-02,1.155e+07
272,272,272,1.199e+07,9.189e-01,8.881e+05,6.809e-02,1.304e+07
288,288,288,1.344e+07,9.191e-01,9.957e+05,6.810e-02,1.462e+07
304,304,304,1.497e+07,9.190e-01,1.109e+06,6.809e-02,1.629e+07
320,320,320,1.659e+07,9.191e-01,1.229e+06,6.810e-02,1.805e+07
336,336,336,1.829e+07,9.187e-01,1.355e+06,6.807e-02,1.991e+07
352,352,352,2.007e+07,9.188e-01,1.487e+06,6.808e-02,2.185e+07
368,368,368,2.194e+07,9.189e-01,1.625e+06,6.808e-02,2.387e+07
384,384,384,2.389e+07,9.188e-01,1.770e+06,6.807e-02,2.600e+07
400,400,400,2.592e+07,9.192e-01,1.920e+06,6.810e-02,2.820e+07
416,416,416,2.804e+07,9.188e-01,2.077e+06,6.807e-02,3.051e+07
432,432,432,3.023e+07,9.183e-01,2.240e+06,6.803e-02,3.292e+07
448,448,448,3.251e+07,9.186e-01,2.409e+06,6.805e-02,3.540e+07
464,464,464,3.488e+07,9.188e-01,2.584e+06,6.807e-02,3.796e+07
480,480,480,3.732e+07,9.187e-01,2.765e+06,6.806e-02,4.063e+07
496,496,496,3.985e+07,9.188e-01,2.953e+06,6.806e-02,4.338e+07
512,512,512,4.247e+07,9.183e-01,3.146e+06,6.803e-02,4.624e+07
528,528,528,4.516e+07,9.188e-01,3.346e+06,6.807e-02,4.915e+07
544,544,544,4.794e+07,9.179e-01,3.552e+06,6.800e-02,5.223e+07
560,560,560,5.080e+07,9.186e-01,3.764e+06,6.805e-02,5.531e+07
576,576,576,5.375e+07,9.187e-01,3.982e+06,6.806e-02,5.850e+07
592,592,592,5.678e+07,9.186e-01,4.206e+06,6.805e-02,6.181e+07
608,608,608,5.989e+07,9.183e-01,4.436e+06,6.802e-02,6.522e+07
624,624,624,6.308e+07,9.188e-01,4.673e+06,6.806e-02,6.865e+07
640,640,640,6.636e+07,9.184e-01,4.916e+06,6.803e-02,7.225e+07
656,656,656,6.971e+07,9.185e-01,5.164e+06,6.804e-02,7.590e+07
672,672,672,7.316e+07,9.184e-01,5.419e+06,6.803e-02,7.966e+07
688,688,688,7.668e+07,9.185e-01,5.680e+06,6.804e-02,8.348e+07
704,704,704,8.029e+07,9.186e-01,5.948e+06,6.805e-02,8.740e+07
720,720,720,8.398e+07,9.186e-01,6.221e+06,6.805e-02,9.142e+07
736,736,736,8.775e+07,9.187e-01,6.501e+06,6.806e-02,9.552e+07
752,752,752,9.161e+07,9.186e-01,6.786e+06,6.805e-02,9.972e+07
768,768,768,9.555e+07,9.186e-01,7.078e+06,6.805e-02,1.040e+08
784,784,784,9.957e+07,9.186e-01,7.376e+06,6.805e-02,1.084e+08
800,800,800,1.037e+08,9.185e-01,7.680e+06,6.804e-02,1.129e+08
816,816,816,1.079e+08,9.186e-01,7.991e+06,6.804e-02,1.174e+08
832,832,832,1.121e+08,9.188e-01,8.307e+06,6.806e-02,1.221e+08
848,848,848,1.165e+08,9.182e-01,8.630e+06,6.802e-02,1.269e+08
864,864,864,1.209e+08,9.183e-01,8.958e+06,6.803e-02,1.317e+08
880,880,880,1.255e+08,9.184e-01,9.293e+06,6.803e-02,1.366e+08
896,896,896,1.301e+08,9.180e-01,9.634e+06,6.800e-02,1.417e+08
912,912,912,1.347e+08,9.181e-01,9.981e+06,6.801e-02,1.468e+08
928,928,928,1.395e+08,9.179e-01,1.033e+07,6.800e-02,1.520e+08
944,944,944,1.444e+08,9.181e-01,1.069e+07,6.801e-02,1.572e+08
960,960,960,1.493e+08,9.185e-01,1.106e+07,6.804e-02,1.626e+08
976,976,976,1.543e+08,9.185e-01,1.143e+07,6.804e-02,1.680e+08
992,992,992,1.594e+08,9.181e-01,1.181e+07,6.801e-02,1.736e+08
1008,1008,1008,1.646e+08,9.180e-01,1.219e+07,6.800e-02,1.793e+08
