size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,9.309e-01,3.088e+03,1.404e+00,2.200e+03
32,32,32,8.192e+03,9.204e-01,1.230e+04,1.382e+00,8.900e+03
48,48,48,1.843e+04,9.170e-01,2.766e+04,1.376e+00,2.010e+04
64,64,64,3.277e+04,9.179e-01,4.917e+04,1.377e+00,3.570e+04
80,80,80,5.120e+04,9.159e-01,7.682e+04,1.374e+00,5.590e+04
96,96,96,7.373e+04,9.159e-01,1.106e+05,1.374e+00,8.050e+04
112,112,112,1.004e+05,9.131e-01,1.505e+05,1.370e+00,1.099e+05
128,128,128,1.311e+05,9.134e-01,1.966e+05,1.370e+00,1.435e+05
144,144,144,1.659e+05,9.115e-01,2.488e+05,1.367e+00,1.820e+05
160,160,160,2.048e+05,9.102e-01,3.072e+05,1.365e+00,2.250e+05
176,176,176,2.478e+05,9.111e-01,3.717e+05,1.367e+00,2.720e+05
192,192,192,2.949e+05,9.108e-01,4.424e+05,1.366e+00,3.238e+05
208,208,208,3.461e+05,9.101e-01,5.192e+05,1.365e+00,3.803e+05
224,224,224,4.014e+05,9.088e-01,6.021e+05,1.363e+00,4.417e+05
240,240,240,4.608e+05,9.091e-01,6.912e+05,1.364e+00,5.069e+05
256,256,256,5.243e+05,9.077e-01,7.864e+05,1.362e+00,5.776e+05
272,272,272,5.919e+05,9.076e-01,8.878e+05,1.361e+00,6.521e+05
288,288,288,6.636e+05,9.091e-01,9.953e+05,1.364e+00,7.299e+05
304,304,304,7.393e+05,9.080e-01,1.109e+06,1.362e+00,8.142e+05
320,320,320,8.192e+05,9.079e-01,1.229e+06,1.362e+00,9.023e+05
336,336,336,9.032e+05,9.077e-01,1.355e+06,1.362e+00,9.950e+05
352,352,352,9.912e+05,9.066e-01,1.487e+06,1.360e+00,1.093e+06
368,368,368,1.083e+06,9.080e-01,1.625e+06,1.362e+00,1.193e+06
384,384,384,1.180e+06,9.075e-01,1.769e+06,1.361e+00,1.300e+06
400,400,400,1.280e+06,9.079e-01,1.920e+06,1.362e+00,1.410e+06
416,416,416,1.384e+06,9.071e-01,2.077e+06,1.361e+00,1.526e+06
432,432,432,1.493e+06,9.078e-01,2.240e+06,1.362e+00,1.645e+06
448,448,448,1.606e+06,9.077e-01,2.408e+06,1.362e+00,1.769e+06
464,464,464,1.722e+06,9.073e-01,2.584e+06,1.361e+00,1.898e+06
480,480,480,1.843e+06,9.075e-01,2.765e+06,1.361e+00,2.031e+06
496,496,496,1.968e+06,9.069e-01,2.952e+06,1.360e+00,2.170e+06
512,512,512,2.097e+06,9.070e-01,3.146e+06,1.360e+00,2.312e+06
528,528,528,2.230e+06,9.075e-01,3.345e+06,1.361e+00,2.458e+06
544,544,544,2.367e+06,9.066e-01,3.551e+06,1.360e+00,2.611e+06
560,560,560,2.509e+06,9.072e-01,3.763e+06,1.361e+00,2.766e+06
576,576,576,2.654e+06,9.071e-01,3.981e+06,1.361e+00,2.926e+06
592,592,592,2.804e+06,9.072e-01,4.206e+06,1.361e+00,3.090e+06
608,608,608,2.957e+06,9.069e-01,4.436e+06,1.360e+00,3.261e+06
624,624,624,3.115e+06,9.072e-01,4.673e+06,1.361e+00,3.434e+06
640,640,640,3.277e+06,9.066e-01,4.915e+06,1.360e+00,3.614e+06
656,656,656,3.443e+06,9.069e-01,5.164e+06,1.360e+00,3.796e+06
672,672,672,3.613e+06,9.068e-01,5.419e+06,1.360e+00,3.984e+06
688,688,688,3.787e+06,9.070e-01,5.680e+06,1.360e+00,4.175e+06
704,704,704,3.965e+06,9.067e-01,5.947e+06,1.360e+00,4.373e+06
720,720,720,4.147e+06,9.068e-01,6.221e+06,1.360e+00,4.573e+06
736,736,736,4.334e+06,9.069e-01,6.500e+06,1.360e+00,4.778e+06
752,752,752,4.524e+06,9.065e-01,6.786e+06,1.360e+00,4.991e+06
768,768,768,4.719e+06,9.067e-01,7.078e+06,1.360e+00,5.204e+06
784,784,784,4.917e+06,9.064e-01,7.376e+06,1.360e+00,5.425e+06
800,800,800,5.120e+06,9.065e-01,7.680e+06,1.360e+00,5.648e+06
816,816,816,5.327e+06,9.065e-01,7.990e+06,1.360e+00,5.876e+06
832,832,832,5.538e+06,9.067e-01,8.307e+06,1.360e+00,6.108e+06
848,848,848,5.753e+06,9.068e-01,8.629e+06,1.360e+00,6.344e+06
864,864,864,5.972e+06,9.069e-01,8.958e+06,1.360e+00,6.585e+06
880,880,880,6.195e+06,9.068e-01,9.293e+06,1.360e+00,6.832e+06
896,896,896,6.423e+06,9.065e-01,9.634e+06,1.360e+00,7.085e+06
912,912,912,6.654e+06,9.065e-01,9.981e+06,1.360e+00,7.340e+06
928,928,928,6.889e+06,9.060e-01,1.033e+07,1.359e+00,7.604e+06
944,944,944,7.129e+06,9.065e-01,1.069e+07,1.360e+00,7.865e+06
960,960,960,7.373e+06,9.062e-01,1.106e+07,1.359e+00,8.136e+06
976,976,976,7.621e+06,9.065e-01,1.143e+07,1.360e+00,8.407e+06
992,992,992,7.873e+06,9.060e-01,1.181e+07,1.359e+00,8.690e+06
1008,1008,1008,8.129e+06,9.063e-01,1.219e+07,1.359e+00,8.969e+06
