size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,8.192e+03,9.752e-01,3.136e+03,3.733e-01,8.400e+03
32,32,32,3.277e+04,9.695e-01,1.235e+04,3.654e-01,3.380e+04
48,48,48,7.373e+04,9.701e-01,2.771e+04,3.646e-01,7.600e+04
64,64,64,1.311e+05,9.659e-01,4.922e+04,3.627e-01,1.357e+05
80,80,80,2.048e+05,9.647e-01,7.686e+04,3.621e-01,2.123e+05
96,96,96,2.949e+05,9.634e-01,1.107e+05,3.615e-01,3.061e+05
112,112,112,4.014e+05,9.617e-01,1.506e+05,3.608e-01,4.174e+05
128,128,128,5.243e+05,9.627e-01,1.967e+05,3.611e-01,5.446e+05
144,144,144,6.636e+05,9.633e-01,2.489e+05,3.613e-01,6.888e+05
160,160,160,8.192e+05,9.618e-01,3.073e+05,3.608e-01,8.517e+05
176,176,176,9.912e+05,9.621e-01,3.718e+05,3.608e-01,1.030e+06
192,192,192,1.180e+06,9.615e-01,4.424e+05,3.606e-01,1.227e+06
208,208,208,1.384e+06,9.614e-01,5.192e+05,3.606e-01,1.440e+06
224,224,224,1.606e+06,9.604e-01,6.022e+05,3.602e-01,1.672e+06
240,240,240,1.843e+06,9.603e-01,6.913e+05,3.601e-01,1.920e+06
256,256,256,2.097e+06,9.610e-01,7.865e+05,3.604e-01,2.182e+06
272,272,272,2.367e+06,9.611e-01,8.879e+05,3.604e-01,2.463e+06
288,288,288,2.654e+06,9.606e-01,9.954e+05,3.602e-01,2.763e+06
304,304,304,2.957e+06,9.605e-01,1.109e+06,3.602e-01,3.079e+06
320,320,320,3.277e+06,9.606e-01,1.229e+06,3.602e-01,3.411e+06
336,336,336,3.613e+06,9.597e-01,1.355e+06,3.599e-01,3.764e+06
352,352,352,3.965e+06,9.602e-01,1.487e+06,3.601e-01,4.129e+06
368,368,368,4.334e+06,9.599e-01,1.625e+06,3.600e-01,4.515e+06
384,384,384,4.719e+06,9.605e-01,1.770e+06,3.602e-01,4.912e+06
400,400,400,5.120e+06,9.608e-01,1.920e+06,3.603e-01,5.329e+06
416,416,416,5.538e+06,9.604e-01,2.077e+06,3.601e-01,5.766e+06
432,432,432,5.972e+06,9.601e-01,2.240e+06,3.601e-01,6.220e+06
448,448,448,6.423e+06,9.603e-01,2.409e+06,3.601e-01,6.688e+06
464,464,464,6.889e+06,9.602e-01,2.584e+06,3.601e-01,7.175e+06
480,480,480,7.373e+06,9.606e-01,2.765e+06,3.602e-01,7.676e+06
496,496,496,7.873e+06,9.603e-01,2.952e+06,3.601e-01,8.198e+06
512,512,512,8.389e+06,9.600e-01,3.146e+06,3.600e-01,8.738e+06
528,528,528,8.921e+06,9.599e-01,3.345e+06,3.600e-01,9.294e+06
544,544,544,9.470e+06,9.599e-01,3.551e+06,3.600e-01,9.866e+06
560,560,560,1.004e+07,9.590e-01,3.763e+06,3.596e-01,1.046e+07
576,576,576,1.062e+07,9.592e-01,3.981e+06,3.597e-01,1.107e+07
592,592,592,1.121e+07,9.597e-01,4.206e+06,3.599e-01,1.169e+07
608,608,608,1.183e+07,9.595e-01,4.436e+06,3.598e-01,1.233e+07
624,624,624,1.246e+07,9.598e-01,4.673e+06,3.599e-01,1.298e+07
640,640,640,1.311e+07,9.597e-01,4.915e+06,3.599e-01,1.366e+07
656,656,656,1.377e+07,9.593e-01,5.164e+06,3.597e-01,1.435e+07
672,672,672,1.445e+07,9.597e-01,5.419e+06,3.599e-01,1.506e+07
688,688,688,1.515e+07,9.599e-01,5.680e+06,3.600e-01,1.578e+07
704,704,704,1.586e+07,9.597e-01,5.947e+06,3.599e-01,1.653e+07
720,720,720,1.659e+07,9.599e-01,6.221e+06,3.600e-01,1.728e+07
736,736,736,1.733e+07,9.597e-01,6.500e+06,3.599e-01,1.806e+07
752,752,752,1.810e+07,9.597e-01,6.786e+06,3.599e-01,1.886e+07
768,768,768,1.887e+07,9.598e-01,7.078e+06,3.599e-01,1.967e+07
784,784,784,1.967e+07,9.596e-01,7.376e+06,3.598e-01,2.050e+07
800,800,800,2.048e+07,9.594e-01,7.680e+06,3.598e-01,2.135e+07
816,816,816,2.131e+07,9.599e-01,7.990e+06,3.600e-01,2.220e+07
832,832,832,2.215e+07,9.596e-01,8.307e+06,3.598e-01,2.308e+07
848,848,848,2.301e+07,9.596e-01,8.629e+06,3.599e-01,2.398e+07
864,864,864,2.389e+07,9.593e-01,8.958e+06,3.597e-01,2.490e+07
880,880,880,2.478e+07,9.597e-01,9.293e+06,3.599e-01,2.582e+07
896,896,896,2.569e+07,9.594e-01,9.634e+06,3.598e-01,2.678e+07
912,912,912,2.662e+07,9.600e-01,9.981e+06,3.600e-01,2.773e+07
928,928,928,2.756e+07,9.595e-01,1.033e+07,3.598e-01,2.872e+07
944,944,944,2.852e+07,9.595e-01,1.069e+07,3.598e-01,2.972e+07
960,960,960,2.949e+07,9.588e-01,1.106e+07,3.595e-01,3.076e+07
976,976,976,3.048e+07,9.595e-01,1.143e+07,3.598e-01,3.177e+07
992,992,992,3.149e+07,9.586e-01,1.181e+07,3.595e-01,3.285e+07
1008,1008,1008,3.251e+07,9.584e-01,1.219e+07,3.594e-01,3.393e+07
