size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,2.048e+00,3.120e+03,1.040e+00,3.000e+03
32,32,32,2.458e+04,2.048e+00,1.234e+04,1.028e+00,1.200e+04
48,48,48,5.530e+04,2.048e+00,2.770e+04,1.026e+00,2.700e+04
64,64,64,9.830e+04,2.048e+00,4.920e+04,1.025e+00,4.800e+04
80,80,80,1.536e+05,2.018e+00,7.685e+04,1.010e+00,7.610e+04
96,96,96,2.212e+05,2.035e+00,1.106e+05,1.018e+00,1.087e+05
112,112,112,3.011e+05,2.019e+00,1.506e+05,1.010e+00,1.491e+05
128,128,128,3.932e+05,1.992e+00,1.967e+05,9.962e-01,1.974e+05
144,144,144,4.977e+05,2.024e+00,2.489e+05,1.012e+00,2.459e+05
160,160,160,6.144e+05,2.021e+00,3.072e+05,1.011e+00,3.040e+05
176,176,176,7.434e+05,2.021e+00,3.718e+05,1.011e+00,3.678e+05
192,192,192,8.847e+05,2.006e+00,4.424e+05,1.003e+00,4.411e+05
208,208,208,1.038e+06,2.016e+00,5.192e+05,1.008e+00,5.150e+05
224,224,224,1.204e+06,2.004e+00,6.022e+05,1.002e+00,6.009e+05
240,240,240,1.382e+06,2.015e+00,6.912e+05,1.008e+00,6.860e+05
256,256,256,1.573e+06,1.556e+00,7.865e+05,7.779e-01,1.011e+06
272,272,272,1.776e+06,2.009e+00,8.879e+05,1.004e+00,8.839e+05
288,288,288,1.991e+06,1.999e+00,9.954e+05,9.998e-01,9.956e+05
304,304,304,2.218e+06,2.008e+00,1.109e+06,1.004e+00,1.105e+06
320,320,320,2.458e+06,2.005e+00,1.229e+06,1.002e+00,1.226e+06
336,336,336,2.710e+06,2.013e+00,1.355e+06,1.007e+00,1.346e+06
352,352,352,2.974e+06,2.004e+00,1.487e+06,1.002e+00,1.484e+06
368,368,368,3.250e+06,2.004e+00,1.625e+06,1.002e+00,1.622e+06
384,384,384,3.539e+06,1.734e+00,1.770e+06,8.672e-01,2.041e+06
400,400,400,3.840e+06,2.004e+00,1.920e+06,1.002e+00,1.916e+06
416,416,416,4.153e+06,1.996e+00,2.077e+06,9.981e-01,2.081e+06
432,432,432,4.479e+06,2.002e+00,2.240e+06,1.001e+00,2.238e+06
448,448,448,4.817e+06,1.964e+00,2.408e+06,9.820e-01,2.453e+06
464,464,464,5.167e+06,1.997e+00,2.584e+06,9.985e-01,2.588e+06
480,480,480,5.530e+06,1.981e+00,2.765e+06,9.907e-01,2.791e+06
496,496,496,5.904e+06,2.003e+00,2.952e+06,1.002e+00,2.947e+06
512,512,512,6.291e+06,5.411e-01,3.146e+06,2.705e-01,1.163e+07
528,528,528,6.691e+06,1.986e+00,3.345e+06,9.932e-01,3.368e+06
544,544,544,7.102e+06,1.994e+00,3.551e+06,9.970e-01,3.562e+06
560,560,560,7.526e+06,2.000e+00,3.763e+06,9.998e-01,3.764e+06
576,576,576,7.963e+06,1.916e+00,3.981e+06,9.580e-01,4.156e+06
592,592,592,8.411e+06,1.997e+00,4.206e+06,9.985e-01,4.212e+06
608,608,608,8.872e+06,1.986e+00,4.436e+06,9.932e-01,4.467e+06
624,624,624,9.345e+06,1.988e+00,4.673e+06,9.940e-01,4.701e+06
640,640,640,9.830e+06,1.464e+00,4.915e+06,7.318e-01,6.717e+06
656,656,656,1.033e+07,1.989e+00,5.164e+06,9.944e-01,5.193e+06
672,672,672,1.084e+07,1.966e+00,5.419e+06,9.829e-01,5.514e+06
688,688,688,1.136e+07,1.981e+00,5.680e+06,9.904e-01,5.736e+06
704,704,704,1.189e+07,1.783e+00,5.947e+06,8.913e-01,6.673e+06
720,720,720,1.244e+07,1.994e+00,6.221e+06,9.970e-01,6.240e+06
736,736,736,1.300e+07,1.974e+00,6.500e+06,9.871e-01,6.586e+06
752,752,752,1.357e+07,1.985e+00,6.786e+06,9.925e-01,6.838e+06
768,768,768,1.416e+07,1.263e+00,7.078e+06,6.317e-01,1.120e+07
784,784,784,1.475e+07,1.982e+00,7.376e+06,9.909e-01,7.443e+06
800,800,800,1.536e+07,1.956e+00,7.680e+06,9.780e-01,7.853e+06
816,816,816,1.598e+07,1.973e+00,7.990e+06,9.865e-01,8.099e+06
832,832,832,1.661e+07,1.705e+00,8.307e+06,8.527e-01,9.742e+06
848,848,848,1.726e+07,1.974e+00,8.629e+06,9.868e-01,8.744e+06
864,864,864,1.792e+07,1.921e+00,8.958e+06,9.605e-01,9.326e+06
880,880,880,1.859e+07,1.977e+00,9.293e+06,9.883e-01,9.403e+06
896,896,896,1.927e+07,1.345e+00,9.634e+06,6.724e-01,1.433e+07
912,912,912,1.996e+07,1.935e+00,9.981e+06,9.674e-01,1.032e+07
928,928,928,2.067e+07,1.863e+00,1.033e+07,9.313e-01,1.110e+07
944,944,944,2.139e+07,1.919e+00,1.069e+07,9.594e-01,1.115e+07
960,960,960,2.212e+07,1.634e+00,1.106e+07,8.172e-01,1.353e+07
976,976,976,2.286e+07,1.889e+00,1.143e+07,9.445e-01,1.210e+07
992,992,992,2.362e+07,1.840e+00,1.181e+07,9.198e-01,1.284e+07
1008,1008,1008,2.439e+07,1.767e+00,1.219e+07,8.836e-01,1.380e+07
