size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,4.608e+03,3.840e+00,3.108e+03,2.590e+00,1.200e+03
32,32,32,1.843e+04,3.922e+00,1.232e+04,2.622e+00,4.700e+03
48,48,48,4.147e+04,3.950e+00,2.768e+04,2.637e+00,1.050e+04
64,64,64,7.373e+04,3.901e+00,4.919e+04,2.603e+00,1.890e+04
80,80,80,1.152e+05,3.945e+00,7.684e+04,2.631e+00,2.920e+04
96,96,96,1.659e+05,3.940e+00,1.106e+05,2.628e+00,4.210e+04
112,112,112,2.258e+05,3.947e+00,1.506e+05,2.632e+00,5.720e+04
128,128,128,2.949e+05,3.964e+00,1.966e+05,2.643e+00,7.440e+04
144,144,144,3.732e+05,3.937e+00,2.489e+05,2.625e+00,9.480e+04
160,160,160,4.608e+05,3.945e+00,3.072e+05,2.630e+00,1.168e+05
176,176,176,5.576e+05,3.952e+00,3.717e+05,2.635e+00,1.411e+05
192,192,192,6.636e+05,3.950e+00,4.424e+05,2.633e+00,1.680e+05
208,208,208,7.788e+05,3.959e+00,5.192e+05,2.640e+00,1.967e+05
224,224,224,9.032e+05,3.954e+00,6.021e+05,2.636e+00,2.284e+05
240,240,240,1.037e+06,3.959e+00,6.912e+05,2.639e+00,2.619e+05
256,256,256,1.180e+06,3.971e+00,7.865e+05,2.647e+00,2.971e+05
272,272,272,1.332e+06,3.945e+00,8.878e+05,2.630e+00,3.376e+05
288,288,288,1.493e+06,3.942e+00,9.954e+05,2.628e+00,3.787e+05
304,304,304,1.663e+06,3.933e+00,1.109e+06,2.622e+00,4.230e+05
320,320,320,1.843e+06,3.940e+00,1.229e+06,2.627e+00,4.678e+05
336,336,336,2.032e+06,3.937e+00,1.355e+06,2.625e+00,5.161e+05
352,352,352,2.230e+06,3.943e+00,1.487e+06,2.629e+00,5.656e+05
368,368,368,2.438e+06,3.942e+00,1.625e+06,2.628e+00,6.184e+05
384,384,384,2.654e+06,3.940e+00,1.770e+06,2.627e+00,6.736e+05
400,400,400,2.880e+06,3.932e+00,1.920e+06,2.622e+00,7.324e+05
416,416,416,3.115e+06,3.937e+00,2.077e+06,2.625e+00,7.912e+05
432,432,432,3.359e+06,3.939e+00,2.240e+06,2.626e+00,8.528e+05
448,448,448,3.613e+06,3.941e+00,2.408e+06,2.627e+00,9.167e+05
464,464,464,3.875e+06,3.941e+00,2.584e+06,2.627e+00,9.834e+05
480,480,480,4.147e+06,3.935e+00,2.765e+06,2.623e+00,1.054e+06
496,496,496,4.428e+06,3.938e+00,2.952e+06,2.625e+00,1.124e+06
512,512,512,4.719e+06,3.994e+00,3.146e+06,2.663e+00,1.182e+06
528,528,528,5.018e+06,3.940e+00,3.345e+06,2.627e+00,1.274e+06
544,544,544,5.327e+06,3.942e+00,3.551e+06,2.628e+00,1.351e+06
560,560,560,5.645e+06,3.941e+00,3.763e+06,2.627e+00,1.432e+06
576,576,576,5.972e+06,3.941e+00,3.981e+06,2.627e+00,1.516e+06
592,592,592,6.308e+06,3.943e+00,4.206e+06,2.629e+00,1.600e+06
608,608,608,6.654e+06,3.942e+00,4.436e+06,2.628e+00,1.688e+06
624,624,624,7.009e+06,3.946e+00,4.673e+06,2.630e+00,1.776e+06
640,640,640,7.373e+06,3.937e+00,4.915e+06,2.624e+00,1.873e+06
656,656,656,7.746e+06,3.947e+00,5.164e+06,2.632e+00,1.962e+06
672,672,672,8.129e+06,3.937e+00,5.419e+06,2.625e+00,2.064e+06
688,688,688,8.520e+06,3.946e+00,5.680e+06,2.630e+00,2.159e+06
704,704,704,8.921e+06,3.940e+00,5.947e+06,2.627e+00,2.264e+06
720,720,720,9.331e+06,3.946e+00,6.221e+06,2.631e+00,2.364e+06
736,736,736,9.751e+06,3.947e+00,6.500e+06,2.632e+00,2.470e+06
752,752,752,1.018e+07,3.943e+00,6.786e+06,2.629e+00,2.581e+06
768,768,768,1.062e+07,3.971e+00,7.078e+06,2.647e+00,2.674e+06
784,784,784,1.106e+07,3.945e+00,7.376e+06,2.630e+00,2.805e+06
800,800,800,1.152e+07,3.945e+00,7.680e+06,2.630e+00,2.920e+06
816,816,816,1.199e+07,3.943e+00,7.990e+06,2.629e+00,3.039e+06
832,832,832,1.246e+07,3.946e+00,8.307e+06,2.631e+00,3.158e+06
848,848,848,1.294e+07,3.950e+00,8.629e+06,2.633e+00,3.277e+06
864,864,864,1.344e+07,3.942e+00,8.958e+06,2.628e+00,3.409e+06
880,880,880,1.394e+07,3.944e+00,9.293e+06,2.629e+00,3.534e+06
896,896,896,1.445e+07,3.948e+00,9.634e+06,2.632e+00,3.660e+06
912,912,912,1.497e+07,3.941e+00,9.981e+06,2.627e+00,3.799e+06
928,928,928,1.550e+07,3.943e+00,1.033e+07,2.629e+00,3.932e+06
944,944,944,1.604e+07,3.943e+00,1.069e+07,2.629e+00,4.068e+06
960,960,960,1.659e+07,3.941e+00,1.106e+07,2.627e+00,4.209e+06
976,976,976,1.715e+07,3.958e+00,1.143e+07,2.638e+00,4.332e+06
992,992,992,1.771e+07,3.947e+00,1.181e+07,2.631e+00,4.488e+06
1008,1008,1008,1.829e+07,3.955e+00,1.219e+07,2.637e+00,4.624e+06
