size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,3.840e+00,3.120e+03,1.950e+00,1.600e+03
32,32,32,2.458e+04,3.964e+00,1.234e+04,1.990e+00,6.200e+03
48,48,48,5.530e+04,3.978e+00,2.770e+04,1.993e+00,1.390e+04
64,64,64,9.830e+04,3.980e+00,4.920e+04,1.992e+00,2.470e+04
80,80,80,1.536e+05,3.990e+00,7.685e+04,1.996e+00,3.850e+04
96,96,96,2.212e+05,4.007e+00,1.106e+05,2.004e+00,5.520e+04
112,112,112,3.011e+05,3.982e+00,1.506e+05,1.992e+00,7.560e+04
128,128,128,3.932e+05,3.874e+00,1.967e+05,1.937e+00,1.015e+05
144,144,144,4.977e+05,3.978e+00,2.489e+05,1.989e+00,1.251e+05
160,160,160,6.144e+05,3.964e+00,3.072e+05,1.982e+00,1.550e+05
176,176,176,7.434e+05,3.984e+00,3.718e+05,1.992e+00,1.866e+05
192,192,192,8.847e+05,3.982e+00,4.424e+05,1.991e+00,2.222e+05
208,208,208,1.038e+06,3.980e+00,5.192e+05,1.990e+00,2.609e+05
224,224,224,1.204e+06,3.973e+00,6.022e+05,1.987e+00,3.031e+05
240,240,240,1.382e+06,3.983e+00,6.912e+05,1.991e+00,3.471e+05
256,256,256,1.573e+06,3.947e+00,7.865e+05,1.974e+00,3.985e+05
272,272,272,1.776e+06,3.978e+00,8.879e+05,1.989e+00,4.464e+05
288,288,288,1.991e+06,3.965e+00,9.954e+05,1.982e+00,5.021e+05
304,304,304,2.218e+06,3.978e+00,1.109e+06,1.989e+00,5.575e+05
320,320,320,2.458e+06,3.968e+00,1.229e+06,1.984e+00,6.194e+05
336,336,336,2.710e+06,3.973e+00,1.355e+06,1.987e+00,6.820e+05
352,352,352,2.974e+06,3.970e+00,1.487e+06,1.985e+00,7.491e+05
368,368,368,3.250e+06,3.974e+00,1.625e+06,1.987e+00,8.179e+05
384,384,384,3.539e+06,3.969e+00,1.770e+06,1.985e+00,8.916e+05
400,400,400,3.840e+06,3.968e+00,1.920e+06,1.984e+00,9.678e+05
416,416,416,4.153e+06,3.974e+00,2.077e+06,1.987e+00,1.045e+06
432,432,432,4.479e+06,3.973e+00,2.240e+06,1.986e+00,1.127e+06
448,448,448,4.817e+06,3.977e+00,2.408e+06,1.989e+00,1.211e+06
464,464,464,5.167e+06,3.973e+00,2.584e+06,1.986e+00,1.301e+06
480,480,480,5.530e+06,3.975e+00,2.765e+06,1.987e+00,1.391e+06
496,496,496,5.904e+06,3.981e+00,2.952e+06,1.991e+00,1.483e+06
512,512,512,6.291e+06,3.925e+00,3.146e+06,1.963e+00,1.603e+06
528,528,528,6.691e+06,3.983e+00,3.345e+06,1.991e+00,1.680e+06
544,544,544,7.102e+06,3.981e+00,3.551e+06,1.990e+00,1.784e+06
560,560,560,7.526e+06,3.977e+00,3.763e+06,1.988e+00,1.893e+06
576,576,576,7.963e+06,3.984e+00,3.981e+06,1.992e+00,1.999e+06
592,592,592,8.411e+06,3.983e+00,4.206e+06,1.991e+00,2.112e+06
608,608,608,8.872e+06,3.983e+00,4.436e+06,1.992e+00,2.227e+06
624,624,624,9.345e+06,3.981e+00,4.673e+06,1.991e+00,2.347e+06
640,640,640,9.830e+06,3.982e+00,4.915e+06,1.991e+00,2.468e+06
656,656,656,1.033e+07,3.983e+00,5.164e+06,1.992e+00,2.593e+06
672,672,672,1.084e+07,3.983e+00,5.419e+06,1.991e+00,2.721e+06
688,688,688,1.136e+07,3.980e+00,5.680e+06,1.990e+00,2.854e+06
704,704,704,1.189e+07,3.984e+00,5.947e+06,1.992e+00,2.986e+06
720,720,720,1.244e+07,3.983e+00,6.221e+06,1.992e+00,3.124e+06
736,736,736,1.300e+07,3.980e+00,6.500e+06,1.990e+00,3.266e+06
752,752,752,1.357e+07,3.982e+00,6.786e+06,1.991e+00,3.408e+06
768,768,768,1.416e+07,3.969e+00,7.078e+06,1.985e+00,3.566e+06
784,784,784,1.475e+07,3.984e+00,7.376e+06,1.992e+00,3.703e+06
800,800,800,1.536e+07,3.983e+00,7.680e+06,1.992e+00,3.856e+06
816,816,816,1.598e+07,3.979e+00,7.990e+06,1.989e+00,4.016e+06
832,832,832,1.661e+07,3.980e+00,8.307e+06,1.990e+00,4.174e+06
848,848,848,1.726e+07,3.983e+00,8.629e+06,1.992e+00,4.333e+06
864,864,864,1.792e+07,3.981e+00,8.958e+06,1.990e+00,4.501e+06
880,880,880,1.859e+07,3.982e+00,9.293e+06,1.991e+00,4.667e+06
896,896,896,1.927e+07,3.985e+00,9.634e+06,1.993e+00,4.835e+06
912,912,912,1.996e+07,3.982e+00,9.981e+06,1.991e+00,5.013e+06
928,928,928,2.067e+07,3.981e+00,1.033e+07,1.990e+00,5.192e+06
944,944,944,2.139e+07,3.974e+00,1.069e+07,1.987e+00,5.382e+06
960,960,960,2.212e+07,3.977e+00,1.106e+07,1.989e+00,5.561e+06
976,976,976,2.286e+07,3.984e+00,1.143e+07,1.992e+00,5.739e+06
992,992,992,2.362e+07,3.981e+00,1.181e+07,1.990e+00,5.933e+06
1008,1008,1008,2.439e+07,3.979e+00,1.219e+07,1.989e+00,6.129e+06
