size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,6.144e+03,3.840e+00,3.120e+03,1.950e+00,1.600e+03
32,32,32,2.458e+04,3.840e+00,1.234e+04,1.927e+00,6.400e+03
48,48,48,5.530e+04,3.894e+00,2.770e+04,1.950e+00,1.420e+04
64,64,64,9.830e+04,3.916e+00,4.920e+04,1.960e+00,2.510e+04
80,80,80,1.536e+05,3.918e+00,7.685e+04,1.960e+00,3.920e+04
96,96,96,2.212e+05,3.840e+00,1.106e+05,1.921e+00,5.760e+04
112,112,112,3.011e+05,3.895e+00,1.506e+05,1.948e+00,7.730e+04
128,128,128,3.932e+05,3.913e+00,1.967e+05,1.957e+00,1.005e+05
144,144,144,4.977e+05,3.909e+00,2.489e+05,1.955e+00,1.273e+05
160,160,160,6.144e+05,3.811e+00,3.072e+05,1.906e+00,1.612e+05
176,176,176,7.434e+05,3.909e+00,3.718e+05,1.955e+00,1.902e+05
192,192,192,8.847e+05,3.891e+00,4.424e+05,1.946e+00,2.274e+05
208,208,208,1.038e+06,3.876e+00,5.192e+05,1.938e+00,2.679e+05
224,224,224,1.204e+06,3.887e+00,6.022e+05,1.944e+00,3.098e+05
240,240,240,1.382e+06,3.872e+00,6.912e+05,1.936e+00,3.570e+05
256,256,256,1.573e+06,3.846e+00,7.865e+05,1.923e+00,4.090e+05
272,272,272,1.776e+06,3.855e+00,8.879e+05,1.928e+00,4.606e+05
288,288,288,1.991e+06,3.856e+00,9.954e+05,1.928e+00,5.163e+05
304,304,304,2.218e+06,3.849e+00,1.109e+06,1.925e+00,5.762e+05
320,320,320,2.458e+06,3.847e+00,1.229e+06,1.924e+00,6.388e+05
336,336,336,2.710e+06,3.856e+00,1.355e+06,1.928e+00,7.026e+05
352,352,352,2.974e+06,3.856e+00,1.487e+06,1.928e+00,7.711e+05
368,368,368,3.250e+06,3.852e+00,1.625e+06,1.926e+00,8.438e+05
384,384,384,3.539e+06,3.858e+00,1.770e+06,1.929e+00,9.174e+05
400,400,400,3.840e+06,3.870e+00,1.920e+06,1.935e+00,9.922e+05
416,416,416,4.153e+06,3.860e+00,2.077e+06,1.930e+00,1.076e+06
432,432,432,4.479e+06,3.864e+00,2.240e+06,1.932e+00,1.159e+06
448,448,448,4.817e+06,3.867e+00,2.408e+06,1.933e+00,1.246e+06
464,464,464,5.167e+06,3.868e+00,2.584e+06,1.934e+00,1.336e+06
480,480,480,5.530e+06,3.868e+00,2.765e+06,1.934e+00,1.430e+06
496,496,496,5.904e+06,3.859e+00,2.952e+06,1.930e+00,1.530e+06
512,512,512,6.291e+06,3.828e+00,3.146e+06,1.914e+00,1.643e+06
528,528,528,6.691e+06,3.871e+00,3.345e+06,1.935e+00,1.729e+06
544,544,544,7.102e+06,3.863e+00,3.551e+06,1.932e+00,1.839e+06
560,560,560,7.526e+06,3.869e+00,3.763e+06,1.934e+00,1.946e+06
576,576,576,7.963e+06,3.867e+00,3.981e+06,1.934e+00,2.059e+06
592,592,592,8.411e+06,3.862e+00,4.206e+06,1.931e+00,2.178e+06
608,608,608,8.872e+06,3.872e+00,4.436e+06,1.936e+00,2.292e+06
624,624,624,9.345e+06,3.875e+00,4.673e+06,1.938e+00,2.412e+06
640,640,640,9.830e+06,3.866e+00,4.915e+06,1.933e+00,2.542e+06
656,656,656,1.033e+07,3.872e+00,5.164e+06,1.936e+00,2.667e+06
672,672,672,1.084e+07,3.870e+00,5.419e+06,1.935e+00,2.800e+06
688,688,688,1.136e+07,3.876e+00,5.680e+06,1.938e+00,2.931e+06
704,704,704,1.189e+07,3.874e+00,5.947e+06,1.937e+00,3.070e+06
720,720,720,1.244e+07,3.870e+00,6.221e+06,1.935e+00,3.215e+06
736,736,736,1.300e+07,3.872e+00,6.500e+06,1.936e+00,3.358e+06
752,752,752,1.357e+07,3.870e+00,6.786e+06,1.935e+00,3.507e+06
768,768,768,1.416e+07,3.853e+00,7.078e+06,1.927e+00,3.674e+06
784,784,784,1.475e+07,3.874e+00,7.376e+06,1.937e+00,3.808e+06
800,800,800,1.536e+07,3.878e+00,7.680e+06,1.939e+00,3.961e+06
816,816,816,1.598e+07,3.881e+00,7.990e+06,1.941e+00,4.117e+06
832,832,832,1.661e+07,3.874e+00,8.307e+06,1.937e+00,4.288e+06
848,848,848,1.726e+07,3.883e+00,8.629e+06,1.942e+00,4.444e+06
864,864,864,1.792e+07,3.877e+00,8.958e+06,1.939e+00,4.621e+06
880,880,880,1.859e+07,3.879e+00,9.293e+06,1.939e+00,4.792e+06
896,896,896,1.927e+07,3.880e+00,9.634e+06,1.940e+00,4.966e+06
912,912,912,1.996e+07,3.875e+00,9.981e+06,1.938e+00,5.151e+06
928,928,928,2.067e+07,3.876e+00,1.033e+07,1.938e+00,5.332e+06
944,944,944,2.139e+07,3.881e+00,1.069e+07,1.941e+00,5.510e+06
960,960,960,2.212e+07,3.874e+00,1.106e+07,1.937e+00,5.709e+06
976,976,976,2.286e+07,3.877e+00,1.143e+07,1.938e+00,5.898e+06
992,992,992,2.362e+07,3.874e+00,1.181e+07,1.937e+00,6.096e+06
1008,1008,1008,2.439e+07,3.874e+00,1.219e+07,1.937e+00,6.294e+06
