size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,3.793e-01,3.088e+03,5.719e-01,5.400e+03
32,32,32,8.192e+03,3.810e-01,1.230e+04,5.723e-01,2.150e+04
48,48,48,1.843e+04,3.808e-01,2.766e+04,5.716e-01,4.840e+04
64,64,64,3.277e+04,3.806e-01,4.917e+04,5.711e-01,8.610e+04
80,80,80,5.120e+04,3.801e-01,7.682e+04,5.703e-01,1.347e+05
96,96,96,7.373e+04,3.785e-01,1.106e+05,5.678e-01,1.948e+05
112,112,112,1.004e+05,3.794e-01,1.505e+05,5.692e-01,2.645e+05
128,128,128,1.311e+05,3.779e-01,1.966e+05,5.670e-01,3.468e+05
144,144,144,1.659e+05,3.780e-01,2.488e+05,5.670e-01,4.389e+05
160,160,160,2.048e+05,3.765e-01,3.072e+05,5.647e-01,5.440e+05
176,176,176,2.478e+05,3.782e-01,3.717e+05,5.674e-01,6.552e+05
192,192,192,2.949e+05,3.766e-01,4.424e+05,5.649e-01,7.831e+05
208,208,208,3.461e+05,3.771e-01,5.192e+05,5.657e-01,9.178e+05
224,224,224,4.014e+05,3.769e-01,6.021e+05,5.654e-01,1.065e+06
240,240,240,4.608e+05,3.767e-01,6.912e+05,5.651e-01,1.223e+06
256,256,256,5.243e+05,3.765e-01,7.864e+05,5.648e-01,1.392e+06
272,272,272,5.919e+05,3.776e-01,8.878e+05,5.664e-01,1.567e+06
288,288,288,6.636e+05,3.759e-01,9.953e+05,5.638e-01,1.765e+06
304,304,304,7.393e+05,3.764e-01,1.109e+06,5.646e-01,1.964e+06
320,320,320,8.192e+05,3.761e-01,1.229e+06,5.642e-01,2.178e+06
336,336,336,9.032e+05,3.774e-01,1.355e+06,5.661e-01,2.393e+06
352,352,352,9.912e+05,3.766e-01,1.487e+06,5.649e-01,2.632e+06
368,368,368,1.083e+06,3.767e-01,1.625e+06,5.651e-01,2.876e+06
384,384,384,1.180e+06,3.757e-01,1.769e+06,5.635e-01,3.140e+06
400,400,400,1.280e+06,3.767e-01,1.920e+06,5.651e-01,3.398e+06
416,416,416,1.384e+06,3.762e-01,2.077e+06,5.643e-01,3.680e+06
432,432,432,1.493e+06,3.765e-01,2.240e+06,5.647e-01,3.966e+06
448,448,448,1.606e+06,3.758e-01,2.408e+06,5.638e-01,4.272e+06
464,464,464,1.722e+06,3.763e-01,2.584e+06,5.644e-01,4.577e+06
480,480,480,1.843e+06,3.762e-01,2.765e+06,5.643e-01,4.900e+06
496,496,496,1.968e+06,3.763e-01,2.952e+06,5.644e-01,5.230e+06
512,512,512,2.097e+06,3.753e-01,3.146e+06,5.629e-01,5.588e+06
528,528,528,2.230e+06,3.766e-01,3.345e+06,5.648e-01,5.923e+06
544,544,544,2.367e+06,3.761e-01,3.551e+06,5.642e-01,6.295e+06
560,560,560,2.509e+06,3.767e-01,3.763e+06,5.650e-01,6.661e+06
576,576,576,2.654e+06,3.760e-01,3.981e+06,5.639e-01,7.060e+06
592,592,592,2.804e+06,3.760e-01,4.206e+06,5.640e-01,7.456e+06
608,608,608,2.957e+06,3.762e-01,4.436e+06,5.642e-01,7.862e+06
624,624,624,3.115e+06,3.762e-01,4.673e+06,5.643e-01,8.280e+06
640,640,640,3.277e+06,3.758e-01,4.915e+06,5.638e-01,8.719e+06
656,656,656,3.443e+06,3.760e-01,5.164e+06,5.641e-01,9.155e+06
672,672,672,3.613e+06,3.763e-01,5.419e+06,5.645e-01,9.600e+06
688,688,688,3.787e+06,3.764e-01,5.680e+06,5.646e-01,1.006e+07
704,704,704,3.965e+06,3.761e-01,5.947e+06,5.642e-01,1.054e+07
720,720,720,4.147e+06,3.762e-01,6.221e+06,5.644e-01,1.102e+07
736,736,736,4.334e+06,3.758e-01,6.500e+06,5.637e-01,1.153e+07
752,752,752,4.524e+06,3.756e-01,6.786e+06,5.634e-01,1.205e+07
768,768,768,4.719e+06,3.762e-01,7.078e+06,5.643e-01,1.254e+07
784,784,784,4.917e+06,3.759e-01,7.376e+06,5.639e-01,1.308e+07
800,800,800,5.120e+06,3.762e-01,7.680e+06,5.644e-01,1.361e+07
816,816,816,5.327e+06,3.761e-01,7.990e+06,5.641e-01,1.416e+07
832,832,832,5.538e+06,3.764e-01,8.307e+06,5.646e-01,1.471e+07
848,848,848,5.753e+06,3.762e-01,8.629e+06,5.643e-01,1.529e+07
864,864,864,5.972e+06,3.765e-01,8.958e+06,5.648e-01,1.586e+07
880,880,880,6.195e+06,3.707e-01,9.293e+06,5.560e-01,1.671e+07
896,896,896,6.423e+06,3.690e-01,9.634e+06,5.535e-01,1.741e+07
912,912,912,6.654e+06,3.691e-01,9.981e+06,5.537e-01,1.803e+07
928,928,928,6.889e+06,3.760e-01,1.033e+07,5.640e-01,1.832e+07
944,944,944,7.129e+06,3.378e-01,1.069e+07,5.068e-01,2.110e+07
960,960,960,7.373e+06,3.734e-01,1.106e+07,5.601e-01,1.975e+07
976,976,976,7.621e+06,3.317e-01,1.143e+07,4.976e-01,2.297e+07
992,992,992,7.873e+06,3.756e-01,1.181e+07,5.634e-01,2.096e+07
1008,1008,1008,8.129e+06,3.423e-01,1.219e+07,5.135e-01,2.374e+07
